id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1285063141353758721,1285063141353758721,2020-07-20 06:05:02 ora legale Europa occidentale,2020-07-20,06:05:02,+0200,1170404948,adhorg,ADHO,,Over 300 authors and co-authors will be sharing their presentations on @humcommons. There is no schedule in a traditional sense. Participants will be able to view and discuss presentations in Discussion Topics that are arranged by Method:  https://t.co/QAQwnn65aJ #DH2020,en,"[{'screen_name': 'humcommons', 'name': 'humanities commons', 'id': '3035264968'}]",['https://dh2020.hcommons.org/methods/'],[],0,14,25,['dh2020'],[],https://twitter.com/ADHOrg/status/1285063141353758721,False,,0,,,,,,,,[],,,,
1285061938146353153,1285061938146353153,2020-07-20 06:00:16 ora legale Europa occidentale,2020-07-20,06:00:16,+0200,1170404948,adhorg,ADHO,,Welcome to virtual #DH2020! We are thrilled that over 950 participants have registered from more than 60 countries.  https://t.co/oe13vJkQQv,en,[],['https://dh2020.hcommons.org/welcome-to-the-conference/'],[],0,29,80,['dh2020'],[],https://twitter.com/ADHOrg/status/1285061938146353153,False,,0,,,,,,,,[],,,,
1284956677352165377,1284802687100280833,2020-07-19 23:01:59 ora legale Europa occidentale,2020-07-19,23:01:59,+0200,1170404948,adhorg,ADHO,,@NMenon05 Apologies for our slow response on this -- we just sent you an invite to join.,en,[],[],[],1,0,1,[],[],https://twitter.com/ADHOrg/status/1284956677352165377,False,,0,,,,,,,,"[{'screen_name': 'NMenon05', 'name': 'Nim', 'id': '2532008234'}]",,,,
1284950057314332676,1284950057314332676,2020-07-19 22:35:41 ora legale Europa occidentale,2020-07-19,22:35:41,+0200,1170404948,adhorg,ADHO,,Still haven't registered for #DH2020? There's still time! We are keeping registration open through the conference. Join in &amp; remind your friends:  https://t.co/dKPtSkkTdy,en,[],['https://dh2020.hcommons.org/register-for-the-conference/'],[],0,14,19,['dh2020'],[],https://twitter.com/ADHOrg/status/1284950057314332676,False,,0,,,,,,,,[],,,,
1284534589457870849,1284534589457870849,2020-07-18 19:04:46 ora legale Europa occidentale,2020-07-18,19:04:46,+0200,1170404948,adhorg,ADHO,,@ADHOrg states that #BlackLivesMatter; that we stand in solidarity with people protesting against structural racism &amp; other forms of oppression &amp; discrimination; &amp; that we recognize that we have work to do in our #DigitalHumanities communities. Read more:  https://t.co/YyQ8nxGRYx,en,[],['https://adho.org/blm-structuralracism-establishmentviolence'],[],1,9,23,"['blacklivesmatter', 'digitalhumanities']",[],https://twitter.com/ADHOrg/status/1284534589457870849,False,,0,,,,,,,,[],,,,
1284265680364347392,1284251095632457728,2020-07-18 01:16:13 ora legale Europa occidentale,2020-07-18,01:16:13,+0200,1170404948,adhorg,ADHO,,@rcmidura You should have access now.,en,[],[],[],1,0,1,[],[],https://twitter.com/ADHOrg/status/1284265680364347392,False,,0,,,,,,,,"[{'screen_name': 'rcmidura', 'name': 'Dr. Rachel Midura', 'id': '742400383016804352'}]",,,,
1284254474773684225,1284251095632457728,2020-07-18 00:31:41 ora legale Europa occidentale,2020-07-18,00:31:41,+0200,1170404948,adhorg,ADHO,,@rcmidura We'll check on this and get back to you this evening.,en,[],[],[],1,0,1,[],[],https://twitter.com/ADHOrg/status/1284254474773684225,False,,0,,,,,,,,"[{'screen_name': 'rcmidura', 'name': 'Dr. Rachel Midura', 'id': '742400383016804352'}]",,,,
1284219526448545793,1284219526448545793,2020-07-17 22:12:49 ora legale Europa occidentale,2020-07-17,22:12:49,+0200,1170404948,adhorg,ADHO,,"Have a question about #dh2020? Contact @adhorg or email us via the ""Contact Us"" button on  https://t.co/Z43p5AgZP3.",en,"[{'screen_name': 'adhorg', 'name': 'adho', 'id': '1170404948'}]",['https://dh2020.hcommons.org/'],[],0,6,5,['dh2020'],[],https://twitter.com/ADHOrg/status/1284219526448545793,False,,0,,,,,,,,[],,,,
1284219051359830016,1284200762776723457,2020-07-17 22:10:56 ora legale Europa occidentale,2020-07-17,22:10:56,+0200,1170404948,adhorg,ADHO,,@FrederikeNBR We're glad you'll be attending! We're admitting all participants on 19 July after presenters have been able to upload their presentations.,en,[],[],[],1,0,2,[],[],https://twitter.com/ADHOrg/status/1284219051359830016,False,,0,,,,,,,,"[{'screen_name': 'FrederikeNBR', 'name': 'Frederike Neuber', 'id': '2345035488'}]",,,,
1284193126664593409,1284001231069941761,2020-07-17 20:27:55 ora legale Europa occidentale,2020-07-17,20:27:55,+0200,1170404948,adhorg,ADHO,,"@espejolento @dxvidmr @eumanismo @DH2020_Ottawa We're admitting presenters first so that they can post their submissions and will open the group to all participants on 19 July. If you're presenting and still need access, let us know! #dh2020",en,[],[],[],0,0,2,['dh2020'],[],https://twitter.com/ADHOrg/status/1284193126664593409,False,,0,,,,,,,,"[{'screen_name': 'espejolento', 'name': 'Silvia Gutiérrez', 'id': '58073253'}, {'screen_name': 'dxvidmr', 'name': 'David Merino Recalde', 'id': '1227326334386540544'}, {'screen_name': 'eumanismo', 'name': 'Dr. José Calvo Tello', 'id': '89718182'}, {'screen_name': 'DH2020_Ottawa', 'name': 'DH2020@Ottawa', 'id': '1144313728357326849'}]",,,,
